SAMPLENAME	old_samplename	Monkey	Month..round.	Year	Month	Day	Cell.Type	simple_cell_type	Experiment	Other	Run	GIVENNAME	MAPPED	READS	MAP_percent	threshold	LibID	Month_timepoint
ZK22_41hm_2019726_NKG2pos_CD56pos_CD16pos_GFPpos_K562cl46_d15__CD180_sampled_I506_S6_L003_R1_001.fastq	ZK22_41hm_2019726_NKG2pos_CD56pos_CD16pos_GFPpos_K562cl46_d15__CD180_sampled_I506_S6_L003_R1_001.fastq	ZK22	41hm				NKG2pos CD56pos CD16pos GFPpos	NKG2pos CD56pos CD16pos GFPpos	K562cl46 d15		CD180	ZK22 41hm 2019726 NKG2pos CD56pos CD16pos GFPpos K562cl46 d15  CD180	6972	12343	56.48545734	100	GAGTTC	41.5
ZK22_41hm_2019726_NKG2pos_DN_GFPpos_LCL_d15__CD180_sampled_I504_S4_L003_R1_001.fastq	ZK22_41hm_2019726_NKG2pos_DN_GFPpos_LCL_d15__CD180_sampled_I504_S4_L003_R1_001.fastq	ZK22	41hm				NKG2pos DN GFPpos	NKG2pos DN GFPpos	LCL d15		CD180	ZK22 41hm 2019726 NKG2pos DN GFPpos LCL d15  CD180	3520173	4000000	88.004325	100	GAGTTC	41.5
ZK22_41hm_2019726_NKG2pos_CD56pos_GFPpos_K562cl46_d15__CD180_sampled_I503_S3_L003_R1_001.fastq	ZK22_41hm_2019726_NKG2pos_CD56pos_GFPpos_K562cl46_d15__CD180_sampled_I503_S3_L003_R1_001.fastq	ZK22	41hm				NKG2pos CD56pos GFPpos	NKG2pos CD56pos GFPpos	K562cl46 d15		CD180	ZK22 41hm 2019726 NKG2pos CD56pos GFPpos K562cl46 d15  CD180	3336081	4000000	83.402025	100	GAGTTC	41.5
ZK22_41hm_2019726_NKG2pos_CD56pos_CD16pos_GFPpos_LCL_d15__CD180_sampled_I502_S2_L003_R1_001.fastq	ZK22_41hm_2019726_NKG2pos_CD56pos_CD16pos_GFPpos_LCL_d15__CD180_sampled_I502_S2_L003_R1_001.fastq	ZK22	41hm				NKG2pos CD56pos CD16pos GFPpos	NKG2pos CD56pos CD16pos GFPpos	LCL d15		CD180	ZK22 41hm 2019726 NKG2pos CD56pos CD16pos GFPpos LCL d15  CD180	3419833	4000000	85.495825	100	GAGTTC	41.5
ZK22_41hm_2019726_CD3pos_LCL_d15__CD180_sampled_I501_S1_L003_R1_001.fastq	ZK22_41hm_2019726_CD3pos_LCL_d15__CD180_sampled_I501_S1_L003_R1_001.fastq	ZK22	41hm				CD3pos	CD3pos	LCL d15		CD180	ZK22 41hm 2019726 CD3pos LCL d15  CD180	3165395	4000000	79.134875	100	GAGTTC	41.5
ZK22__2019711_NKG2posCD56pos___CD177_sampled_I527_S22_L004_R1_001.fastq	ZK22__2019711_NKG2posCD56pos___CD177_sampled_I527_S22_L004_R1_001.fastq	ZK22					NKG2posCD56pos	NKG2posCD56pos			CD177	ZK22  2019711 NKG2posCD56pos   CD177	3289165	4000000	82.229125	100	GAGTTC	NA
ZK22__2019711_NKG2posCD16negCD56neg___CD177_sampled_I526_S21_L004_R1_001.fastq	ZK22__2019711_NKG2posCD16negCD56neg___CD177_sampled_I526_S21_L004_R1_001.fastq	ZK22					NKG2posCD16negCD56neg	NKG2posCD16negCD56neg			CD177	ZK22  2019711 NKG2posCD16negCD56neg   CD177	2381055	4000000	59.526375	100	GAGTTC	NA
ZK22__2019726_K562cl46_d15_NKG2pos_DN_GFPpos___CD176_sampled_CD176_I529_S24_L008_R1_001.fastq	ZK22__2019726_K562cl46_d15_NKG2pos_DN_GFPpos___CD176_sampled_CD176_I529_S24_L008_R1_001.fastq	ZK22					K562cl46 d15 NKG2pos DN GFPpos	K562cl46 d15 NKG2pos DN GFPpos			CD176	ZK22  2019726 K562cl46 d15 NKG2pos DN GFPpos   CD176	2434224	4000000	60.8556	100	GAGTTC	NA
ZK22__2019726_K562cl46_d15_NKG2pos_CD16pos_GFPpos___CD176_sampled_CD176_I528_S23_L008_R1_001.fastq	ZK22__2019726_K562cl46_d15_NKG2pos_CD16pos_GFPpos___CD176_sampled_CD176_I528_S23_L008_R1_001.fastq	ZK22					K562cl46 d15 NKG2pos CD16pos GFPpos	K562cl46 d15 NKG2pos CD16pos GFPpos			CD176	ZK22  2019726 K562cl46 d15 NKG2pos CD16pos GFPpos   CD176	2839190	4000000	70.97975	100	GAGTTC	NA
ZK22__2019726_K562cl46_d15_NKG2pos_GFPpos___CD176_sampled_CD176_I522_S18_L008_R1_001.fastq	ZK22__2019726_K562cl46_d15_NKG2pos_GFPpos___CD176_sampled_CD176_I522_S18_L008_R1_001.fastq	ZK22					K562cl46 d15 NKG2pos GFPpos	K562cl46 d15 NKG2pos GFPpos			CD176	ZK22  2019726 K562cl46 d15 NKG2pos GFPpos   CD176	2815345	4000000	70.383625	100	GAGTTC	NA
ZK22__2019726_LCL_d15_NKG2pos_GFPpos___CD176_sampled_CD176_I521_S17_L008_R1_001.fastq	ZK22__2019726_LCL_d15_NKG2pos_GFPpos___CD176_sampled_CD176_I521_S17_L008_R1_001.fastq	ZK22					LCL d15 NKG2pos GFPpos	LCL d15 NKG2pos GFPpos			CD176	ZK22  2019726 LCL d15 NKG2pos GFPpos   CD176	2749177	4000000	68.729425	100	GAGTTC	NA
ZK22__2019727_K562cl46_d16___CD176_sampled_CD176_I512_S10_L008_R1_001.fastq	ZK22__2019727_K562cl46_d16___CD176_sampled_CD176_I512_S10_L008_R1_001.fastq	ZK22					K562cl46 d16	K562cl46 d16			CD176	ZK22  2019727 K562cl46 d16   CD176	2795738	4000000	69.89345	100	GAGTTC	NA
ZK22__2019727_LCLrestim_d16___CD176_sampled_CD176_I511_S9_L008_R1_001.fastq	ZK22__2019727_LCLrestim_d16___CD176_sampled_CD176_I511_S9_L008_R1_001.fastq	ZK22					LCLrestim d16	LCLrestim d16			CD176	ZK22  2019727 LCLrestim d16   CD176	2680656	3900076	68.73342981	100	GAGTTC	NA
ZK22__2019726_LCL_d15_NKG2pos_CD16pos_GFPpos___CD176_sampled_CD176_I506_S6_L008_R1_001.fastq	ZK22__2019726_LCL_d15_NKG2pos_CD16pos_GFPpos___CD176_sampled_CD176_I506_S6_L008_R1_001.fastq	ZK22					LCL d15 NKG2pos CD16pos GFPpos	LCL d15 NKG2pos CD16pos GFPpos			CD176	ZK22  2019726 LCL d15 NKG2pos CD16pos GFPpos   CD176	2820522	4000000	70.51305	100	GAGTTC	NA
ZK22__2019719_K562cl46_d8___CD176_sampled_CD176_I505_S5_L008_R1_001.fastq	ZK22__2019719_K562cl46_d8___CD176_sampled_CD176_I505_S5_L008_R1_001.fastq	ZK22				19	K562cl46 d8	K562cl46 d8			CD176	ZK22  2019719 K562cl46 d8   CD176	2716116	4000000	67.9029	100	GAGTTC	NA
ZK22__2019719_LCL_d8___CD176_sampled_CD176_I504_S4_L008_R1_001.fastq	ZK22__2019719_LCL_d8___CD176_sampled_CD176_I504_S4_L008_R1_001.fastq	ZK22				19	LCL d8	LCL d8			CD176	ZK22  2019719 LCL d8   CD176	2329802	3501281	66.54141727	100	GAGTTC	NA
ZK22_41m_2019711_NKG2posCD16pos___CD173_sampled_I520_S16_L008_R1_001.fastq	ZK22_41m_2019711_NKG2posCD16pos___CD173_sampled_I520_S16_L008_R1_001.fastq	ZK22	41m				NKG2posCD16pos	NKG2posCD16pos			CD173	ZK22 41m 2019711 NKG2posCD16pos   CD173	3242496	4000000	81.0624	100	GAGTTC	41
ZK22_41m_2019711_CD3pos___CD173_sampled_I519_S15_L008_R1_001.fastq	ZK22_41m_2019711_CD3pos___CD173_sampled_I519_S15_L008_R1_001.fastq	ZK22	41m				CD3pos	CD3pos			CD173	ZK22 41m 2019711 CD3pos   CD173	3090429	4000000	77.260725	100	GAGTTC	41
ZK22_41m_2019711_CD14pos___CD173_sampled_I518_S14_L008_R1_001.fastq	ZK22_41m_2019711_CD14pos___CD173_sampled_I518_S14_L008_R1_001.fastq	ZK22	41m				CD14pos	CD14pos			CD173	ZK22 41m 2019711 CD14pos   CD173	3263811	4000000	81.595275	100	GAGTTC	41
ZK22_41m_2019711_NKG2posNK___CD173_sampled_I516_S13_L008_R1_001.fastq	ZK22_41m_2019711_NKG2posNK___CD173_sampled_I516_S13_L008_R1_001.fastq	ZK22	41m				NKG2posNK	NKG2posNK			CD173	ZK22 41m 2019711 NKG2posNK   CD173	3078564	4000000	76.9641	100	GAGTTC	41
ZK22_41m_2019711_CD20pos___CD173_sampled_I515_S12_L008_R1_001.fastq	ZK22_41m_2019711_CD20pos___CD173_sampled_I515_S12_L008_R1_001.fastq	ZK22	41m				CD20pos	CD20pos			CD173	ZK22 41m 2019711 CD20pos   CD173	3253005	4000000	81.325125	100	GAGTTC	41
ZK22_20190306_NK_CD56p__CD169_sampled_CD169_i529_S72_L004_R1_001.fastq	ZK22_20190306_NK_CD56p__CD169_sampled_CD169_i529_S72_L004_R1_001.fastq	ZK22	37m		3	6	NK CD56p	NK CD56p			CD169	ZK22 20190306 NK CD56p  CD169	2386502	4000000	59.66255	100	GAGTTC	37
ZK22_20190306_NK_CD16p__CD169_sampled_CD169_i528_S71_L004_R1_001.fastq	ZK22_20190306_NK_CD16p__CD169_sampled_CD169_i528_S71_L004_R1_001.fastq	ZK22	37m		3	6	NK CD16p	NK CD16p			CD169	ZK22 20190306 NK CD16p  CD169	2475527	4000000	61.888175	100	GAGTTC	37
ZK22_20190306_Grans__CD169_sampled_CD169_i527_S70_L004_R1_001.fastq	ZK22_20190306_Grans__CD169_sampled_CD169_i527_S70_L004_R1_001.fastq	ZK22	37m		3	6	Grans	Gr			CD169	ZK22 20190306 Grans  CD169	2806630	4000000	70.16575	100	GAGTTC	37
ZK22_20190306_Mono__CD169_sampled_CD169_i526_S69_L004_R1_001.fastq	ZK22_20190306_Mono__CD169_sampled_CD169_i526_S69_L004_R1_001.fastq	ZK22	37m		3	6	Mono	Mono			CD169	ZK22 20190306 Mono  CD169	2568772	4000000	64.2193	100	GAGTTC	37
ZK22_20190306_B__CD169_sampled_CD169_i524_S68_L004_R1_001.fastq	ZK22_20190306_B__CD169_sampled_CD169_i524_S68_L004_R1_001.fastq	ZK22	37m		3	6	B	B			CD169	ZK22 20190306 B  CD169	2873033	4000000	71.825825	100	GAGTTC	37
ZK22_20190306_T__CD169_sampled_CD169_i523_S67_L004_R1_001.fastq	ZK22_20190306_T__CD169_sampled_CD169_i523_S67_L004_R1_001.fastq	ZK22	37m		3	6	T	T			CD169	ZK22 20190306 T  CD169	2794288	4000000	69.8572	100	GAGTTC	37
ZK22_0725_GY9p_resort_CD162_sampled_XG3_i521_S16_L005_R1_001.fastq	ZK22_0725_GY9p_resort_CD162_sampled_XG3_i521_S16_L005_R1_001.fastq	ZK22		2018			GY9p	GY9p		resort	CD162	ZK22 20180725 GY9p resort CD162	3303574	4000000	82.58935	100	GAGTTC	NA
ZK22_0725_NK_bulk_resort_CD162_sampled_XG3_i520_S15_L005_R1_001.fastq	ZK22_0725_NK_bulk_resort_CD162_sampled_XG3_i520_S15_L005_R1_001.fastq	ZK22		2018			NK bulk	NK bulk		resort	CD162	ZK22 20180725 NK bulk resort CD162	3344279	4000000	83.606975	100	GAGTTC	NA
ZK22_20180725_GY9n_resort_CD162_sampled_XG3_i505_S5_L005_R1_001.fastq	ZK22_20180725_GY9n_resort_CD162_sampled_XG3_i505_S5_L005_R1_001.fastq	ZK22		2018			GY9n	GY9n		resort	CD162	ZK22 20180725 GY9n resort CD162	1684439	4000000	42.110975	100	GAGTTC	NA
ZK22_20180725_B_CD161_sampled_CD161_29_S41_L002_R1_001.fastq	ZK22_20180725_B_CD161_sampled_CD161_29_S41_L002_R1_001.fastq											ZK22 20180725 B CD161	3205913	4000000	80.147825	100	GAGTTC	NA
ZK22_20180725_Mono_CD161_sampled_CD161_11_S40_L002_R1_001.fastq	ZK22_20180725_Mono_CD161_sampled_CD161_11_S40_L002_R1_001.fastq											ZK22 20180725 Mono CD161	3241873	4000000	81.046825	100	GAGTTC	NA
ZK22_20180725_Gy9n_CD161_sampled_CD161_24_S42_L002_R1_001.fastq	ZK22_20180725_Gy9n_CD161_sampled_CD161_24_S42_L002_R1_001.fastq	ZK22		2018			Gy9n	Gy9n			CD161	ZK22 20180725 Gy9n CD161	2983570	4000000	74.58925	100	GAGTTC	NA
ZK22_20180725_Gy9p_CD160_sampled_CD160_29_S21_L001_R1_001.fastq	ZK22_20180725_Gy9p_CD160_sampled_CD160_29_S21_L001_R1_001.fastq	ZK22		2018			Gy9p	Gy9p			CD160	ZK22 20180725 Gy9p CD160	3183633	4000000	79.590825	100	GAGTTC	NA
ZK22_20180725_NK_CD16p_CD160_sampled_CD160_28_S20_L001_R1_001.fastq	ZK22_20180725_NK_CD16p_CD160_sampled_CD160_28_S20_L001_R1_001.fastq	ZK22		2018			NK CD16p	NK CD16p			CD160	ZK22 20180725 NK CD16p CD160	3276011	4000000	81.900275	100	GAGTTC	NA
ZK22_20180725_T_CD160_sampled_CD160_16_S16_L001_R1_001.fastq	ZK22_20180725_T_CD160_sampled_CD160_16_S16_L001_R1_001.fastq	ZK22		2018			T	T			CD160	ZK22 20180725 T CD160	2574175	4000000	64.354375	100	GAGTTC	NA
ZK22_20180725_Grans_CD160_sampled_CD160_2_S2_L001_R1_001.fastq	ZK22_20180725_Grans_CD160_sampled_CD160_2_S2_L001_R1_001.fastq	ZK22		2018			Grans	Gr			CD160	ZK22 20180725 Grans CD160	2367289	4000000	59.182225	100	GAGTTC	NA
ZK22_28m_2018_6_6_CD16sp_NK_cell__PB_LT16_sampled_LT16_i526_S44_L005_R1_001.fastq	ZK22_28m_2018_6_6_CD16sp_NK_cell__PB_LT16_sampled_LT16_i526_S44_L005_R1_001.fastq	ZK22	28m	2018			CD16sp NK cell	CD16sp NK cell		PB	LT16	ZK22 28m 2018 6 6 CD16sp NK cell  PB LT16	3192782	4000000	79.81955	100	GAGTTC	28
ZK22_28m_2018_6_6_Mono__PB_LT16_sampled_LT16_i524_S43_L005_R1_001.fastq	ZK22_28m_2018_6_6_Mono__PB_LT16_sampled_LT16_i524_S43_L005_R1_001.fastq	ZK22	28m	2018			Mono	Mono		PB	LT16	ZK22 28m 2018 6 6 Mono  PB LT16	3233687	4000000	80.842175	100	GAGTTC	28
ZK22_28m_2018_6_6_B__PB_LT16_sampled_LT16_i523_S42_L005_R1_001.fastq	ZK22_28m_2018_6_6_B__PB_LT16_sampled_LT16_i523_S42_L005_R1_001.fastq	ZK22	28m	2018			B	B		PB	LT16	ZK22 28m 2018 6 6 B  PB LT16	2837081	4000000	70.927025	100	GAGTTC	28
ZK22_28m_2018_6_6_T__PB_LT16_sampled_LT16_i522_S41_L005_R1_001.fastq	ZK22_28m_2018_6_6_T__PB_LT16_sampled_LT16_i522_S41_L005_R1_001.fastq	ZK22	28m	2018			T	T		PB	LT16	ZK22 28m 2018 6 6 T  PB LT16	3196785	4000000	79.919625	100	GAGTTC	28
ZK22_26hm_2018_4_26_NK_CD56___FX50_sampled_FX50_i529_S48_L008_R1_001.fastq	ZK22_26hm_2018_4_26_NK_CD56___FX50_sampled_FX50_i529_S48_L008_R1_001.fastq	ZK22	26hm	2018	4		NK CD56	NK CD56			FX50	ZK22 26hm 2018 4 26 NK CD56   FX50	2892175	4000000	72.304375	100	GAGTTC	26.5
ZK22_26hm_2018_4_26_Grans___FX50_sampled_FX50_i528_S47_L008_R1_001.fastq	ZK22_26hm_2018_4_26_Grans___FX50_sampled_FX50_i528_S47_L008_R1_001.fastq	ZK22	26hm	2018	4		Grans	Gr			FX50	ZK22 26hm 2018 4 26 Grans   FX50	3149537	4000000	78.738425	100	GAGTTC	26.5
ZK22_26hm_2018_4_26_NK_CD16___FX50_sampled_FX50_i527_S46_L008_R1_001.fastq	ZK22_26hm_2018_4_26_NK_CD16___FX50_sampled_FX50_i527_S46_L008_R1_001.fastq	ZK22	26hm	2018	4		NK CD16	NK CD16			FX50	ZK22 26hm 2018 4 26 NK CD16   FX50	2657415	4000000	66.435375	100	GAGTTC	26.5
ZK22_26hm_2018_4_26_Mono___FX50_sampled_FX50_i526_S45_L008_R1_001.fastq	ZK22_26hm_2018_4_26_Mono___FX50_sampled_FX50_i526_S45_L008_R1_001.fastq	ZK22	26hm	2018	4		Mono	Mono			FX50	ZK22 26hm 2018 4 26 Mono   FX50	3120416	4000000	78.0104	100	GAGTTC	26.5
ZK22_26hm_2018_4_26_B___FX50_sampled_FX50_i524_S44_L008_R1_001.fastq	ZK22_26hm_2018_4_26_B___FX50_sampled_FX50_i524_S44_L008_R1_001.fastq	ZK22	26hm	2018	4		B	B			FX50	ZK22 26hm 2018 4 26 B   FX50	3263720	4000000	81.593	100	GAGTTC	26.5
ZK22_26hm_2018_4_26_T___FX50_sampled_FX50_i523_S43_L008_R1_001.fastq	ZK22_26hm_2018_4_26_T___FX50_sampled_FX50_i523_S43_L008_R1_001.fastq	ZK22	26hm	2018	4		T	T			FX50	ZK22 26hm 2018 4 26 T   FX50	1163550	4000000	29.08875	100	GAGTTC	26.5
ZK22__2018_5_16_CD56___FX50_sampled_FX50_i521_S41_L008_R1_001.fastq	ZK22__2018_5_16_CD56___FX50_sampled_FX50_i521_S41_L008_R1_001.fastq	ZK22		2018			CD56	CD56			FX50	ZK22  2018 5 16 CD56   FX50	1805751	4000000	45.143775	100	GAGTTC	NA
ZK22_28m_2018_6_7_PB_PLT_RNA___FX50_sampled_FX50_i514_S35_L008_R1_001.fastq	ZK22_28m_2018_6_7_PB_PLT_RNA___FX50_sampled_FX50_i514_S35_L008_R1_001.fastq	ZK22	28m	2018			PB PLT RNA	PB PLT RNA			FX50	ZK22 28m 2018 6 7 PB PLT RNA   FX50	1705441	4000000	42.636025	100	GAGTTC	28
ZK22_27hm_2018_5_17_PB_PLT_RNA___FX50_sampled_FX50_i511_S33_L008_R1_001.fastq	ZK22_27hm_2018_5_17_PB_PLT_RNA___FX50_sampled_FX50_i511_S33_L008_R1_001.fastq	ZK22	27hm	2018			PB PLT RNA	PB PLT RNA			FX50	ZK22 27hm 2018 5 17 PB PLT RNA   FX50	218342	4000000	5.45855	100	GAGTTC	27.5
ZK22_26hm_2018_4_27_PB_PLT_RNA___FX50_sampled_FX50_i507_S31_L008_R1_001.fastq	ZK22_26hm_2018_4_27_PB_PLT_RNA___FX50_sampled_FX50_i507_S31_L008_R1_001.fastq	ZK22	26hm	2018	4		PB PLT RNA	PB PLT RNA			FX50	ZK22 26hm 2018 4 27 PB PLT RNA   FX50	432630	4000000	10.81575	100	GAGTTC	26.5
ZK22_27m_2018_5_16_NK_CD16___FX50_sampled_FX50_i506_S30_L008_R1_001.fastq	ZK22_27m_2018_5_16_NK_CD16___FX50_sampled_FX50_i506_S30_L008_R1_001.fastq	ZK22	27m	2018			NK CD16	NK CD16			FX50	ZK22 27m 2018 5 16 NK CD16   FX50	2784046	4000000	69.60115	100	GAGTTC	27
ZK22_27m_2018_5_16_Mono___FX50_sampled_FX50_i505_S29_L008_R1_001.fastq	ZK22_27m_2018_5_16_Mono___FX50_sampled_FX50_i505_S29_L008_R1_001.fastq	ZK22	27m	2018			Mono	Mono			FX50	ZK22 27m 2018 5 16 Mono   FX50	942786	4000000	23.56965	100	GAGTTC	27
ZK22_27m_2018_5_16_B___FX50_sampled_FX50_i504_S28_L008_R1_001.fastq	ZK22_27m_2018_5_16_B___FX50_sampled_FX50_i504_S28_L008_R1_001.fastq	ZK22	27m	2018			B	B			FX50	ZK22 27m 2018 5 16 B   FX50	3123388	4000000	78.0847	100	GAGTTC	27
ZK22_27m_2018_5_16_T___FX50_sampled_FX50_i503_S27_L008_R1_001.fastq	ZK22_27m_2018_5_16_T___FX50_sampled_FX50_i503_S27_L008_R1_001.fastq	ZK22	27m	2018			T	T			FX50	ZK22 27m 2018 5 16 T   FX50	2920538	4000000	73.01345	100	GAGTTC	27
ZK22_27m_2018_5_16_Grans___FX50_sampled_FX50_i502_S26_L008_R1_001.fastq	ZK22_27m_2018_5_16_Grans___FX50_sampled_FX50_i502_S26_L008_R1_001.fastq	ZK22	27m	2018			Grans	Gr			FX50	ZK22 27m 2018 5 16 Grans   FX50	3153045	4000000	78.826125	100	GAGTTC	27
ZK22_26m_2018_04_10_RBC__PB_RNA_FX48_sampled_FX49_i529_S23_L003_R1_001.fastq	ZK22_26m_2018_04_10_RBC__PB_RNA_FX48_sampled_FX49_i529_S23_L003_R1_001.fastq	ZK22	26m	2018	4	10	RBC	RBC		PB RNA	FX48	ZK22 26m 2018 04 10 RBC  PB RNA FX48	3249311	4000000	81.232775	100	GAGTTC	26
ZK22_25hm_2018_03_19_RBC__PB_RNA_FX48_sampled_FX49_i528_S22_L003_R1_001.fastq	ZK22_25hm_2018_03_19_RBC__PB_RNA_FX48_sampled_FX49_i528_S22_L003_R1_001.fastq	ZK22	25hm	2018	3	19	RBC	RBC		PB RNA	FX48	ZK22 25hm 2018 03 19 RBC  PB RNA FX48	3215579	4000000	80.389475	100	GAGTTC	25.5
ZK22_23m_2018_01_10_RBC__PB_RNA_FX48_sampled_FX49_i527_S21_L003_R1_001.fastq	ZK22_23m_2018_01_10_RBC__PB_RNA_FX48_sampled_FX49_i527_S21_L003_R1_001.fastq	ZK22	23m	2018	1	10	RBC	RBC		PB RNA	FX48	ZK22 23m 2018 01 10 RBC  PB RNA FX48	3233018	4000000	80.82545	100	GAGTTC	23
ZK22_26m_2018_04_10_NK_CD56p__PB_FX48_sampled_FX49_i515_S11_L003_R1_001.fastq	ZK22_26m_2018_04_10_NK_CD56p__PB_FX48_sampled_FX49_i515_S11_L003_R1_001.fastq	ZK22	26m	2018	4	10	NK CD56p	NK CD56p		PB	FX48	ZK22 26m 2018 04 10 NK CD56p  PB FX48	3117220	4000000	77.9305	100	GAGTTC	26
ZK22_25hm_2018_03_19_NK_CD56p__PB_FX48_sampled_FX49_i512_S9_L003_R1_001.fastq	ZK22_25hm_2018_03_19_NK_CD56p__PB_FX48_sampled_FX49_i512_S9_L003_R1_001.fastq	ZK22	25hm	2018	3	19	NK CD56p	NK CD56p		PB	FX48	ZK22 25hm 2018 03 19 NK CD56p  PB FX48	3022198	4000000	75.55495	100	GAGTTC	25.5
ZK22_26m_2018_04_10_Grans__PB_FX48_sampled_FX49_i507_S7_L003_R1_001.fastq	ZK22_26m_2018_04_10_Grans__PB_FX48_sampled_FX49_i507_S7_L003_R1_001.fastq	ZK22	26m	2018	4	10	Grans	Gr		PB	FX48	ZK22 26m 2018 04 10 Grans  PB FX48	2872657	4000000	71.816425	100	GAGTTC	26
ZK22_26m_2018_04_10_NK_CD16p__PB_FX48_sampled_FX49_i506_S6_L003_R1_001.fastq	ZK22_26m_2018_04_10_NK_CD16p__PB_FX48_sampled_FX49_i506_S6_L003_R1_001.fastq	ZK22	26m	2018	4	10	NK CD16p	NK CD16p		PB	FX48	ZK22 26m 2018 04 10 NK CD16p  PB FX48	2787505	4000000	69.687625	100	GAGTTC	26
ZK22_26m_2018_04_10_Mono__PB_FX48_sampled_FX49_i505_S5_L003_R1_001.fastq	ZK22_26m_2018_04_10_Mono__PB_FX48_sampled_FX49_i505_S5_L003_R1_001.fastq	ZK22	26m	2018	4	10	Mono	Mono		PB	FX48	ZK22 26m 2018 04 10 Mono  PB FX48	2799624	4000000	69.9906	100	GAGTTC	26
ZK22_26m_2018_04_10_B__PB_FX48_sampled_FX49_i504_S4_L003_R1_001.fastq	ZK22_26m_2018_04_10_B__PB_FX48_sampled_FX49_i504_S4_L003_R1_001.fastq	ZK22	26m	2018	4	10	B	B		PB	FX48	ZK22 26m 2018 04 10 B  PB FX48	3013192	4000000	75.3298	100	GAGTTC	26
ZK22_26m_2018_04_10_T__PB_FX48_sampled_FX49_i503_S3_L003_R1_001.fastq	ZK22_26m_2018_04_10_T__PB_FX48_sampled_FX49_i503_S3_L003_R1_001.fastq	ZK22	26m	2018	4	10	T	T		PB	FX48	ZK22 26m 2018 04 10 T  PB FX48	2760907	4000000	69.022675	100	GAGTTC	26
ZK22_25hm_2018_03_10_Grans__PB_FX48_sampled_FX49_i502_S2_L003_R1_001.fastq	ZK22_25hm_2018_03_10_Grans__PB_FX48_sampled_FX49_i502_S2_L003_R1_001.fastq	ZK22	25hm	2018	3	10	Grans	Gr		PB	FX48	ZK22 25hm 2018 03 10 Grans  PB FX48	3150656	4000000	78.7664	100	GAGTTC	25.5
ZK22_25hm_2018_03_19_NK_CD16p__PB_FX48_sampled_FX49_i501_S1_L003_R1_001.fastq	ZK22_25hm_2018_03_19_NK_CD16p__PB_FX48_sampled_FX49_i501_S1_L003_R1_001.fastq	ZK22	25hm	2018	3	19	NK CD16p	NK CD16p		PB	FX48	ZK22 25hm 2018 03 19 NK CD16p  PB FX48	335164	4000000	8.3791	100	GAGTTC	25.5
zk22_23m_NKG2pCD16p_tet_sampled_CD156_i524_S20_L008_R1_001.fastq	zk22_23m_NKG2pCD16p_tet._sampled_CD156_i524_S20_L008_R1_001.fastq											23m NKG2pCD16p tet- CD156						NA
ZK22_25hm_2018_03_19_Mono__PB_FX48_sampled_FX48_i529_S48_L005_R1_001.fastq	ZK22_25hm_2018_03_19_Mono__PB_FX48_sampled_FX48_i529_S48_L005_R1_001.fastq	ZK22	25hm	2018	3	19	Mono	Mono		PB	FX48	ZK22 25hm 2018 03 19 Mono  PB FX48	3107004	4000000	77.6751	100	GAGTTC	25.5
ZK22_25hm_2018_03_19_B__PB_FX48_sampled_FX48_i528_S47_L005_R1_001.fastq	ZK22_25hm_2018_03_19_B__PB_FX48_sampled_FX48_i528_S47_L005_R1_001.fastq	ZK22	25hm	2018	3	19	B	B		PB	FX48	ZK22 25hm 2018 03 19 B  PB FX48	3161989	4000000	79.049725	100	GAGTTC	25.5
ZK22_25hm_2018_03_19_T__PB_FX48_sampled_FX48_i527_S46_L005_R1_001.fastq	ZK22_25hm_2018_03_19_T__PB_FX48_sampled_FX48_i527_S46_L005_R1_001.fastq	ZK22	25hm	2018	3	19	T	T		PB	FX48	ZK22 25hm 2018 03 19 T  PB FX48	3231920	4000000	80.798	100	GAGTTC	25.5
ZK22_26m_2018_04_10_PLT__PB_RNA_FX48_sampled_FX48_i519_S39_L005_R1_001.fastq	ZK22_26m_2018_04_10_PLT__PB_RNA_FX48_sampled_FX48_i519_S39_L005_R1_001.fastq	ZK22	26m	2018	4	10	PLT	PLT		PB RNA	FX48	ZK22 26m 2018 04 10 PLT  PB RNA FX48	2191450	4000000	54.78625	100	GAGTTC	26
ZK22_25hm_2018_03_19_PLT__PB_RNA_FX48_sampled_FX48_i518_S38_L005_R1_001.fastq	ZK22_25hm_2018_03_19_PLT__PB_RNA_FX48_sampled_FX48_i518_S38_L005_R1_001.fastq	ZK22	25hm	2018	3	19	PLT	PLT		PB RNA	FX48	ZK22 25hm 2018 03 19 PLT  PB RNA FX48	485179	4000000	12.129475	100	GAGTTC	25.5
ZK22_23m_2018_01_10_PLT__PB_RNA_FX47_sampled_FX47_i501_S1_L004_R1_001.fastq	ZK22_23m_2018_01_10_PLT__PB_RNA_FX47_sampled_FX47_i501_S1_L004_R1_001.fastq	ZK22	23m	2018	1	10	PLT	PLT		PB RNA	FX47	ZK22 23m 2018 01 10 PLT  PB RNA FX47	2730774	4000000	68.26935	100	GAGTTC	23
ZK22_vaccine_9_week__PLT_RNA_20171107FX45_sampled_FX45_i527_S22_L003_R1_001.fastq	ZK22_vaccine_9_week__PLT_RNA_20171107FX45_sampled_FX45_i527_S22_L003_R1_001.fastq											 vaccine 9 week  PLT RNA 20171107FX45	2943136	4000000	73.5784	100	GAGTTC	NA
