SAMPLENAME	Monkey	Month..round.	Year	Month	Day	Cell.Type	simple_cell_type	Experiment	Other	Run	GIVENNAME	MAPPED	READS	MAP_percent	threshold	LibID	Month_timepoint
ZG66_76hm_2019426_CD20pos___CD173_sampled_I507_S7_L008_R1_001.fastq	ZG66	76hm	2019	NA	NA	CD20pos	B	NA	NA	CD173	ZG66 76hm 2019426 CD20pos   CD173	3422767	4000000	85.569175	100	GTAGCC	76.5
ZG66_14day_2019423_NKG2posCD56pos_NKinLCL_expansion_CD172_sampled_I518_S14_L007_R1_001.fastq	ZG66	14day	2019	NA	NA	NKG2posCD56pos	CD56+	NKinLCL	expansion	CD172	ZG66 14day 2019423 NKG2posCD56pos NKinLCL expansion CD172	3529475	4000000	88.236875	100	GTAGCC	NA
ZG66_21day_2019430_bulk_NKinK562_expansion_CD172_sampled_I528_S23_L007_R1_001.fastq	ZG66	21day	2019	NA	NA	bulk	bulk	NKinK562	expansion	CD172	ZG66 21day 2019430 bulk NKinK562 expansion CD172	2958160	4000000	73.954	100	GTAGCC	NA
ZG66_76hm_2019426_NKG2posCD16posNK___CD173_sampled_I512_S10_L008_R1_001.fastq	ZG66	76hm	2019	NA	NA	NKG2posCD16posNK	CD16+	NA	NA	CD173	ZG66 76hm 2019426 NKG2posCD16posNK   CD173	1861499	4000000	46.537475	100	GTAGCC	76.5
ZG66_76m_201949_NKG2posNKbulk___CD173_sampled_I511_S9_L008_R1_001.fastq	ZG66	76m	2019	NA	NA	NKG2posNKbulk	NKG2posNKbulk	NA	NA	CD173	ZG66 76m 201949 NKG2posNKbulk   CD173	2414110	4000000	60.35275	100	GTAGCC	76
ZG66_14day_2019423_bulk_NKinK562_expansion_CD172_sampled_I510_S8_L007_R1_001.fastq	ZG66	14day	2019	NA	NA	bulk	bulk	NKinK562	expansion	CD172	ZG66 14day 2019423 bulk NKinK562 expansion CD172	2669007	4000000	66.725175	100	GTAGCC	NA
ZG66_14day_2019423_bulk_NKinLCL_expansion_CD172_sampled_I507_S7_L007_R1_001.fastq	ZG66	14day	2019	NA	NA	bulk	bulk	NKinLCL	expansion	CD172	ZG66 14day 2019423 bulk NKinLCL expansion CD172	2745540	4000000	68.6385	100	GTAGCC	NA
ZG66_21day_2019430_bulk_NKinK562_expansion_restim_CD173_sampled_I501_S1_L008_R1_001.fastq	ZG66	21day	2019	NA	NA	bulk	bulk	NKinK562	expansion restim	CD173	ZG66 21day 2019430 bulk NKinK562 expansion restim CD173	2425907	4000000	60.647675	100	GTAGCC	NA
ZG66_14day_2019423_NKG2posCD16negCD56neg_NKinLCL_expansion_CD172_sampled_I520_S16_L007_R1_001.fastq	ZG66	14day	2019	NA	NA	NKG2posCD16negCD56neg	NKG2posCD16negCD56neg	NKinLCL	expansion	CD172	ZG66 14day 2019423 NKG2posCD16negCD56neg NKinLCL expansion CD172	3342900	4000000	83.5725	100	GTAGCC	NA
ZG66_76m_201949_CD14____CD172_sampled_I501_S1_L007_R1_001.fastq	ZG66	76m	2019	NA	NA	CD14	Mono		NA	CD172	ZG66 76m 201949 CD14    CD172	3478626	4000000	86.96565	100	GTAGCC	76
ZG66_21day_2019430_bulk_NKinLCL_expansion_restim_CD172_sampled_I529_S24_L007_R1_001.fastq	ZG66	21day	2019	NA	NA	bulk	bulk	NKinLCL	expansion restim	CD172	ZG66 21day 2019430 bulk NKinLCL expansion restim CD172	1509246	4000000	37.73115	100	GTAGCC	NA
ZG66_28day_201957_bulk_NKin562_expansion_restim_CD173_sampled_I506_S6_L008_R1_001.fastq	ZG66	28day	2019	NA	NA	bulk	bulk	NKin562	expansion restim	CD173	ZG66 28day 201957 bulk NKin562 expansion restim CD173	2809550	4000000	70.23875	100	GTAGCC	NA
ZG66_14day_2019423_NKG2pos_NKinLCL_expansion_CD172_sampled_I515_S12_L007_R1_001.fastq	ZG66	14day	2019	NA	NA	NKG2pos	NKG2pos	NKinLCL	expansion	CD172	ZG66 14day 2019423 NKG2pos NKinLCL expansion CD172	2651356	4000000	66.2839	100	GTAGCC	NA
ZG66_10day_2019419_bulk_NKinLCL_expansion_CD172_sampled_I506_S6_L007_R1_001.fastq	ZG66	10day	2019	NA	NA	bulk	bulk	NKinLCL	expansion	CD172	ZG66 10day 2019419 bulk NKinLCL expansion CD172	2760904	4000000	69.0226	100	GTAGCC	NA
ZG66_14day_2019423_NKG2pos_NKinK562_expansion_CD172_sampled_I521_S17_L007_R1_001.fastq	ZG66	14day	2019	NA	NA	NKG2pos	NKG2pos	NKinK562	expansion	CD172	ZG66 14day 2019423 NKG2pos NKinK562 expansion CD172	2660661	4000000	66.516525	100	GTAGCC	NA
ZG66_7day_2019416_bulk_NKinLCL_expansion_CD172_sampled_I504_S4_L007_R1_001.fastq	ZG66	7day	2019	NA	16	bulk	bulk	NKinLCL	expansion	CD172	ZG66 7day 2019416 bulk NKinLCL expansion CD172	2677834	4000000	66.94585	100	GTAGCC	NA
ZG66_28day_201957_bulk_NKinK562_expansion_CD173_sampled_I504_S4_L008_R1_001.fastq	ZG66	28day	2019	NA	NA	bulk	bulk	NKinK562	expansion	CD173	ZG66 28day 201957 bulk NKinK562 expansion CD173	3139349	4000000	78.483725	100	GTAGCC	NA
ZG66_76m_201949_CD3___CD172_sampled_I502_S2_L007_R1_001.fastq	ZG66	76m	2019	NA	NA	CD3	T	NA	NA	CD172	ZG66 76m 201949 CD3   CD172	3323011	4000000	83.075275	100	GTAGCC	76
ZG66_14day_2019423_NKG2posCD16pos_NKinLCL_expansion_CD172_sampled_I516_S13_L007_R1_001.fastq	ZG66	14day	2019	NA	NA	NKG2posCD16pos	CD16+	NKinLCL	expansion	CD172	ZG66 14day 2019423 NKG2posCD16pos NKinLCL expansion CD172	1872433	4000000	46.810825	100	GTAGCC	NA
ZG66_76m_201949_Grans___CD172_sampled_I503_S3_L007_R1_001.fastq	ZG66	76m	2019	NA	NA	Grans	Gr	NA	NA	CD172	ZG66 76m 201949 Grans   CD172	3488195	4000000	87.204875	100	GTAGCC	76
ZG66_28day_201957_bulk_NKinLCL_expansion_restim_CD173_sampled_I505_S5_L008_R1_001.fastq	ZG66	28day	2019	NA	NA	bulk	bulk	NKinLCL	expansion restim	CD173	ZG66 28day 201957 bulk NKinLCL expansion restim CD173	1239342	4000000	30.98355	100	GTAGCC	NA
ZG66_28day_201957_bulk_NKinLCL_expansion_CD173_sampled_I503_S3_L008_R1_001.fastq	ZG66	28day	2019	NA	NA	bulk	bulk	NKinLCL	expansion	CD173	ZG66 28day 201957 bulk NKinLCL expansion CD173	3131603	4000000	78.290075	100	GTAGCC	NA
ZG66_25day_201954_bulk_NKinLCL_expansion_CD173_sampled_I502_S2_L008_R1_001.fastq	ZG66	25day	2019	NA	NA	bulk	bulk	NKinLCL	expansion	CD173	ZG66 25day 201954 bulk NKinLCL expansion CD173	3049142	4000000	76.22855	100	GTAGCC	NA
ZG66_75m_201936_B___CD170_sampled_CD170_i515_S12_L002_R1_001.fastq	ZG66	75m	2019	NA	NA	B	B	NA	NA	CD170	ZG66 75m 201936 B   CD170	3412368	4000000	85.3092	100	GTAGCC	75
ZG66_75m_201936_T___CD170_sampled_CD170_i514_S11_L002_R1_001.fastq	ZG66	75m	2019	NA	NA	T	T	NA	NA	CD170	ZG66 75m 201936 T   CD170	3311349	4000000	82.783725	100	GTAGCC	75
ZG66_20180813_T__CD162_sampled_XG3_i502_S2_L005_R1_001.fastq	ZG66	NA	2018	NA	NA	T	T	NA	NA	CD162	ZG66 20180813 T  CD162	2729162	4000000	68.22905	100	GTAGCC	68.5
ZG66_20180813_B__CD162_sampled_XG3_i504_S4_L005_R1_001.fastq	ZG66	NA	2018	NA	NA	B	B	NA	NA	CD162	ZG66 20180813 B  CD162	328737	4000000	8.218425	100	GTAGCC	68.5
ZG66_20180813_Mono__CD162_sampled_XG3_i505_S5_L005_R1_001.fastq	ZG66	NA	2018	NA	NA	Mono	Mono	NA	NA	CD162	ZG66 20180813 Mono  CD162	1752910	4000000	43.82275	100	GTAGCC	68.5
ZG66_20180813_Gr__CD162_sampled_XG3_i506_S6_L005_R1_001.fastq	ZG66	NA	2018	NA	NA	Gr	Gr	NA	NA	CD162	ZG66 20180813 Gr  CD162	3182987	4000000	79.574675	100	GTAGCC	68.5
ZG66_20180813_NK_bulk__CD162_sampled_XG3_i507_S7_L005_R1_001.fastq	ZG66	NA	2018	NA	NA	NK bulk	NK bulk	NA	NA	CD162	ZG66 20180813 NK bulk  CD162	2662004	4000000	66.5501	100	GTAGCC	68.5
ZG66_20180813_KIR2Dp__CD162_sampled_XG3_i510_S8_L005_R1_001.fastq	ZG66	NA	2018	NA	NA	KIR2Dp	KIR2Dp	NA	NA	CD162	ZG66 20180813 KIR2Dp  CD162	2543651	4000000	63.591275	100	GTAGCC	68.5
ZG66_20180724_KIR2Dn_resort_CD162_sampled_XG3_i511_S9_L005_R1_001.fastq	ZG66	NA	2018	NA	NA	KIR2Dn	KIR2Dn	NA	resort	CD162	ZG66 20180724 KIR2Dn resort CD162	2986162	4000000	74.65405	100	GTAGCC	67.5
ZG66_20180724_NK_bulk_resort_CD162_sampled_XG3_i522_S17_L005_R1_001.fastq	ZG66	NA	2018	NA	NA	NK bulk	NK bulk	NA	resort	CD162	ZG66 20180724 NK bulk resort CD162	3444178	4000000	86.10445	100	GTAGCC	67.5
ZG66_20180724_KIR2Dp_resort_CD162_sampled_XG3_i523_S18_L005_R1_001.fastq	ZG66	NA	2018	NA	NA	KIR2Dp	KIR2Dp	NA	resort	CD162	ZG66 20180724 KIR2Dp resort CD162	2844330	4000000	71.10825	100	GTAGCC	67.5
ZG66_20180813_KIR2Dn__CD162_sampled_XG3_i529_S21_L005_R1_001.fastq	ZG66	NA	2018	NA	NA	KIR2Dn	KIR2Dn	NA	NA	CD162	ZG66 20180813 KIR2Dn  CD162	2271587	4000000	56.789675	100	GTAGCC	68.5
ZG66_20180724_Grans_CD160_sampled_CD160_4_S4_L001_R1_001.fastq	ZG66	NA	2018	NA	NA	Grans	Gr	NA	NA	CD160	ZG66 20180724 Grans CD160	2469380	4000000	61.7345	100	GTAGCC	67.5
ZG66_20180724_T_CD160_sampled_CD160_8_S8_L001_R1_001.fastq	ZG66	NA	2018	NA	NA	T	T	NA	NA	CD160	ZG66 20180724 T CD160	2870821	4000000	71.770525	100	GTAGCC	67.5
ZG66_20180724_B_CD160_sampled_CD160_9_S9_L001_R1_001.fastq	ZG66	NA	2018	NA	NA	B	B	NA	NA	CD160	ZG66 20180724 B CD160	3169023	4000000	79.225575	100	GTAGCC	67.5
ZG66_20180724_Mono_CD160_sampled_CD160_10_S10_L001_R1_001.fastq	ZG66	NA	2018	NA	NA	Mono	Mono	NA	NA	CD160	ZG66 20180724 Mono CD160	2118625	4000000	52.965625	100	GTAGCC	67.5
ZG66_20180724_KIR2Dn_CD160_sampled_CD160_12_S13_L001_R1_001.fastq	ZG66	NA	2018	NA	NA	KIR2Dn	KIR2Dn	NA	NA	CD160	ZG66 20180724 KIR2Dn CD160	2695291	4000000	67.382275	100	GTAGCC	67.5
ZG66_20180724_NK_CD16p_CD161_sampled_CD161_21_S37_L002_R1_001.fastq	ZG66	NA	2018	NA	NA	NK CD16p	CD16+	NA	NA	CD161	ZG66 20180724 NK CD16p CD161	3460217	4000000	86.505425	100	GTAGCC	67.5
ZG66_20180724_KIR2Dp_CD161_sampled_CD161_22_S38_L002_R1_001.fastq	ZG66	NA	2018	NA	NA	KIR2Dp	KIR2Dp	NA	NA	CD161	ZG66 20180724 KIR2Dp CD161	3105541	4000000	77.638525	100	GTAGCC	67.5
ZG66_20180724_NK_CD16p_CD161_sampled_CD161_19_S36_L002_R1_001.fastq	ZG66	NA	2018	NA	NA	NK CD16p	CD16+	NA	NA	CD161	ZG66 20180724 NK CD16p CD161 ZJ31	2889475	4000000	72.236875	100	GTAGCC	67.5
ZG66_20180724_KIR2Dp_CD161_sampled_CD161_20_S35_L002_R1_001.fastq	ZG66	NA	2018	NA	NA	KIR2Dp	KIR2Dp	NA	NA	CD161	ZG66 20180724 KIR2Dp CD161 ZJ31	35430	265642	13.337499	100	GTAGCC	67.5
ZG66_____Cultured_Cells__1_IY33_sampled_IY33_i501_S72_L008_R1_001.fastq	ZG66	NA	NA	NA	NA	Cultured Cells	Cultured Cells	NA	NA	IY33	ZG66     Cultured Cells  1 IY33	691739	4000000	17.293475	100	GTAGCC	NA
ZG66_____Cultured_Cells__2_IY33_sampled_IY33_i502_S73_L008_R1_001.fastq	ZG66	NA	NA	NA	NA	Cultured Cells	Cultured Cells	NA	NA	IY33	ZG66     Cultured Cells  2 IY33	2166103	4000000	54.152575	100	GTAGCC	NA
ZG66_____Cultured_Cells__3_IY33_sampled_IY33_i503_S74_L008_R1_001.fastq	ZG66	NA	NA	NA	NA	Cultured Cells	Cultured Cells	NA	NA	IY33	ZG66     Cultured Cells  3 IY33	2114622	4000000	52.86555	100	GTAGCC	NA
ZG66_____Cultured_Cells__4_IY33_sampled_IY33_i504_S75_L008_R1_001.fastq	ZG66	NA	NA	NA	NA	Cultured Cells	Cultured Cells	NA	NA	IY33	ZG66     Cultured Cells  4 IY33	2502654	4000000	62.56635	100	GTAGCC	NA
ZG66_____Cultured_Cells__5_IY33_sampled_IY33_i505_S76_L008_R1_001.fastq	ZG66	NA	NA	NA	NA	Cultured Cells	Cultured Cells	NA	NA	IY33	ZG66     Cultured Cells  5 IY33	1091723	4000000	27.293075	100	GTAGCC	NA
ZG66_____Cultured_Cells__6_IY33_sampled_IY33_i506_S77_L008_R1_001.fastq	ZG66	NA	NA	NA	NA	Cultured Cells	Cultured Cells	NA	NA	IY33	ZG66     Cultured Cells  6 IY33	2628745	4000000	65.718625	100	GTAGCC	NA
ZG66_____Cultured_Cells__7_IY33_sampled_IY33_i507_S78_L008_R1_001.fastq	ZG66	NA	NA	NA	NA	Cultured Cells	Cultured Cells	NA	NA	IY33	ZG66     Cultured Cells  7 IY33	1767106	4000000	44.17765	100	GTAGCC	NA
ZG66_____Cultured_Cells__8_IY33_sampled_IY33_i510_S79_L008_R1_001.fastq	ZG66	NA	NA	NA	NA	Cultured Cells	Cultured Cells	NA	NA	IY33	ZG66     Cultured Cells  8 IY33	1637527	4000000	40.938175	100	GTAGCC	NA
ZG66_____Cultured_Cells__9_IY33_sampled_IY33_i511_S80_L008_R1_001.fastq	ZG66	NA	NA	NA	NA	Cultured Cells	Cultured Cells	NA	NA	IY33	ZG66     Cultured Cells  9 IY33	1890662	4000000	47.26655	100	GTAGCC	NA
ZG66_____Cultured_Cells__10_IY33_sampled_IY33_i512_S81_L008_R1_001.fastq	ZG66	NA	NA	NA	NA	Cultured Cells	Cultured Cells	NA	NA	IY33	ZG66     Cultured Cells  10 IY33	2413418	4000000	60.33545	100	GTAGCC	NA
ZG66_____Cultured_Cells__11_IY33_sampled_IY33_i514_S82_L008_R1_001.fastq	ZG66	NA	NA	NA	NA	Cultured Cells	Cultured Cells	NA	NA	IY33	ZG66     Cultured Cells  11 IY33	2197049	4000000	54.926225	100	GTAGCC	NA
ZG66_____Cultured_Cells__12_IY33_sampled_IY33_i515_S83_L008_R1_001.fastq	ZG66	NA	NA	NA	NA	Cultured Cells	Cultured Cells	NA	NA	IY33	ZG66     Cultured Cells  12 IY33	2568726	4000000	64.21815	100	GTAGCC	NA
ZG66_55hm_7272017_PB_RBC1_RNA_sampled_FX43_i522_S18_L003_R1_001.fastq	ZG66	55hm	NA	NA	NA	RBC	RBC	NA	RNA	FX43	ZG66 55hm    RBC  RNA FX43	3532653	4000000	88.316325	100	GTAGCC	55.5
ZG66_55hm_7272017_PB_RBC2_RNA_sampled_FX43_i523_S19_L003_R1_001.fastq	ZG66	55hm	NA	NA	NA	RBC	RBC	NA	RNA	FX43	ZG66 55hm    RBC  RNA2 FX43	3540115	4000000	88.502875	100	GTAGCC	55.5
zg66_Gran_20171003_sampled_CD152_i502_S24_L008_R1_001.fastq	ZG66	58m	NA	NA	NA	Grans	Gr	NA	NA	CD152	ZG66 58m    Grans   CD152	2909970	4000000	72.74925	100	GTAGCC	58
zg66__20171003_NKG2ApCD16p_CD153_sampled_CD153_i501_S1_L008_R1_001.fastq	ZG66	58m	NA	NA	NA	NK CD16p NKG2Ap	CD16+	NA	NA	CD153	ZG66 58m    NK CD16p NKG2Ap   CD153	2926549	4000000	73.163725	100	GTAGCC	58
zg66__20171003_KIR2Dp_CD153_sampled_CD153_i502_S2_L008_R1_001.fastq	ZG66	58m	NA	NA	NA	NK KIR2Dp	NK KIR2Dp	NA	NA	CD153	ZG66 58m    NK KIR2Dp   CD153	2827392	4000000	70.6848	100	GTAGCC	58
zg66__20171003_NKG2ApCD16n_CD153_sampled_CD153_i503_S3_L008_R1_001.fastq	ZG66	58m	NA	NA	NA	NK CD16n NKG2Ap	NK CD16n NKG2Ap	NA	NA	CD153	ZG66 58m    NK CD16n NKG2Ap   CD153	3436124	4000000	85.9031	100	GTAGCC	58
zg66__20171003_NKG2AnCD16p_CD153_sampled_CD153_i506_S6_L008_R1_001.fastq	ZG66	58m	NA	NA	NA	NK CD16p NKG2An	NK CD16p NKG2An	NA	NA	CD153	ZG66 58m    NK CD16p NKG2An   CD153	3468452	4000000	86.7113	100	GTAGCC	58
zg66__20171003_KIR2Dn__CD153_sampled_CD153_i524_S20_L008_R1_001.fastq	ZG66	58m	NA	NA	NA	NK KIR2Dn	NK KIR2Dn	NA	NA	CD153	ZG66 58m    NK KIR2Dn   CD153	3049508	4000000	76.2377	100	GTAGCC	58
ZG66_07272017_NKG2Ap_CD56p_not_fixed_Fanny_sort_sampled_LT2763_CD151_i528_S15_L003_R1_001.fastq	ZG66	55hm	NA	NA	NA	NKCD56p NKG2Ap	CD56+	NA	not fixed	CD151	ZG66 55hm    NK CD56p NKG2Ap not fixed CD151	2194826	4000000	54.87065	100	GTAGCC	55.5
ZG66_07272017_NKG2Ap_KIR2DpCD16p_fixed_fanny_sort_sampled_LT2763_CD151_i519_S7_L003_R1_001.fastq	ZG66	55hm	NA	NA	NA	NK CD16p NKG2Ap KIR2Dp	NK CD16p NKG2Ap KIR2Dp	NA	not fixed	CD151	ZG66 55hm    NK CD16p NKG2Ap KIR2Dp  not fixed CD151	2872380	4000000	71.8095	100	GTAGCC	55.5
ZG66_07272017_NKG2ApCD16n_fixed_Fanny_sort_sampled_LT2763_CD151_i518_S6_L003_R1_001.fastq	ZG66	55hm	NA	NA	NA	NK CD16n NKG2Ap	NK CD16n NKG2Ap	NA	not fixed	CD151	ZG66 55hm    NK CD16n NKG2Ap  not fixed CD151	3063997	4000000	76.599925	100	GTAGCC	55.5
ZG66_17_5m_NKg2anCD16p_fixed_sampled_LT2763_CD149_i515_S49_L007_R1_001.fastq	ZG66	55hm	NA	NA	NA	NK CD16p NKG2An	NK CD16p NKG2An	NA	fixed	CD149	ZG66 55hm    NK CD16p NKG2An  fixed CD149	3089546	4000000	77.23865	100	GTAGCC	55.5
ZG66_17_5m_NKG2ApCD16pKIR2Dn_fixed_sampled_LT2763_CD149_i514_S48_L007_R1_001.fastq	ZG66	55hm	NA	NA	NA	NK CD16p NKG2Ap KIR2Dn	NK CD16p NKG2Ap KIR2Dn	NA	fixed	CD149	ZG66 55hm    NK CD16p NKG2Ap KIR2Dn  fixed CD149	3320356	4000000	83.0089	100	GTAGCC	55.5
ZG66_55_5m_PB_RBC1_RNA_sampled_LT2763_FX37_i524_S33_L006_R1_001.fastq	ZG66	55hm	NA	NA	NA	RBC	RBC	NA	1 PB RNA	CD150	ZG66 55hm    RBC  1 PB RNA CD150	3518372	4000000	87.9593	100	GTAGCC	55.5
ZG66_55_5m_PB_RBC2_RNA_sampled_LT2763_FX37_i526_S34_L006_R1_001.fastq	ZG66	55hm	NA	NA	NA	RBC	RBC	NA	2 PB RNA	CD150	ZG66 55hm    RBC  2 PB RNA CD150	3486656	4000000	87.1664	100	GTAGCC	55.5
ZG66_55_5m_PLT_sampled_LT2763_CD150_i528_S81_L008_R1_001.fastq	ZG66	55hm	NA	NA	NA	PLT	PLT	NA	NA	CD150	ZG66 55hm    PLT  CD150	910427	3577881	25.445983	100	GTAGCC	55.5
ZG66_B_sampled_LT2763_CD150_i506_S67_L008_R1_001.fastq	ZG66	55hm	NA	NA	NA	B	B	NA	NA	CD150	ZG66 55hm    B   CD150	3407314	4000000	85.18285	100	GTAGCC	55.5
ZG66_Mono_Gr_ficolled_sampled_LT2763_CD150_i511_S70_L008_R1_001.fastq	ZG66	55hm	NA	NA	NA	Grans	Gr	NA	NA	CD150	ZG66 55hm    Grans   CD150	3488157	4000000	87.203925	100	GTAGCC	55.5
ZG66_Mono_sampled_LT2763_CD150_i507_S68_L008_R1_001.fastq	ZG66	55hm	NA	NA	NA	Mono	Mono	NA	NA	CD150	ZG66 55hm    Mono   CD150	3512518	4000000	87.81295	100	GTAGCC	55.5
ZG66_NKg2apCD16p_sampled_LT2763_CD150_i510_S69_L008_R1_001.fastq	ZG66	55hm	NA	NA	NA	NK CD16p NKG2Ap	CD16+	NA	NA	CD150	ZG66 55hm    NK CD16p NKG2Ap   CD150	3006700	4000000	75.1675	100	GTAGCC	55.5
ZG66_T_sampled_LT2763_CD150_i505_S66_L008_R1_001.fastq	ZG66	55hm	NA	NA	NA	T	T	NA	NA	CD150	ZG66 55hm    T   CD150	3343116	4000000	83.5779	100	GTAGCC	55.5
zg66_49hm_PB_rbc_RNA_20170131_sampled_FX36_N704_S4_L008_R1_001.fastq	ZG66	49hm	NA	NA	NA	RBC	RBC	NA	PB RNA	FX36	ZG66 49hm    RBC  PB RNA FX36	2244402	4000000	56.11005	100	GTAGCC	49.5
zg66_53m_PB_rbc_RNA_20170518_sampled_FX36_N712_S9_L008_R1_001.fastq	ZG66	53m	NA	NA	NA	RBC	RBC	NA	PB RNA	FX36	ZG66 53m    RBC  PB RNA FX36	3247114	4000000	81.17785	100	GTAGCC	53
zg66_50hm_20170223_invitrostart_NKCD16sp_NKG2p_trimmed_sampled_CD146_R28_S29_L002_R1_001.fastq	ZG66	50hm	NA	NA	NA	NK CD16sp NKG2Ap	CD16+	NA	in vitro	CD146	ZG66 50hm    CD16+ NKG2Ap  in vitro CD146	3477135	4000000	86.928375	100	GTAGCC	50.5
zg66_50hm_20170223_invitrostart_NKCD56sp_NKG2p_trimmed_sampled_CD146_R6_S30_L002_R1_001.fastq	ZG66	50hm	NA	NA	NA	NK CD56sp NKG2Ap	CD56+	NA	in vitro	CD146	ZG66 50hm    CD56+ NKG2Ap  in vitro CD146	980470	1564390	62.674269	100	GTAGCC	50.5
zg66_50hm_20170223_NKG2Ap_CD16n_CD56n_startpoint_trimmed_sampled_FX35_R6_S79_L006_R1_001.fastq	ZG66	50hm	NA	NA	NA	NK DN CD56n CD16n NKG2Ap	NK DN CD56n CD16n NKG2Ap	NA	in vitro	FX35	ZG66 50hm    NK DN CD56n CD16n NKG2Ap  in vitro FX35	1546418	4000000	38.66045	100	GTAGCC	50.5
sampled_trimmed_ZG66_start_PBMC_20161212_R14_YD12.fastq	ZG66	48m	NA	NA	NA	PBMNC	PBMNC	NA	2016 12 12 start	YD12	ZG66 48m    PBMC  2016 12 12 start YD12	2716819	4000000	67.920475	100	GTAGCC	48
invitro_zg66_Jan4_start_T_depleted_bulk_PBMC_sampled_YD20_N706_S44_L003_R1_001.fastq	ZG66	49m	NA	NA	NA	PBMC	PBMC	NA	T depleted	YD20	ZG66 49m    PBMC  T depleted YD20	139254	4000000	3.48135	100	GTAGCC	49
zg66_start_20170223_Mono_sampled_DE2400_YD23_N714_S83_L008_R1_001.fastq	ZG66	50hm	NA	NA	NA	Mono	Mono	NA	NA	YD23	ZG66 50hm    Mono   YD23	2905463	4000000	72.636575	100	GTAGCC	50.5
zg66_start_20170223_T_depleted_PBMC_sampled_DE2400_YD23_N707_S79_L008_R1_001.fastq	ZG66	50hm	NA	NA	NA	PBMC	PBMC	NA	T depleted	YD23	ZG66 50hm    PBMC  T depleted YD23	2949099	4000000	73.727475	100	GTAGCC	50.5
zg66_start_20170223_Gr_sampled_DE2400_YD23_N716_S85_L008_R1_001.fastq	ZG66	50hm	NA	NA	NA	Grans	Gr	NA	NA	YD23	ZG66 50hm    Grans   YD23	2938696	4000000	73.4674	100	GTAGCC	50.5
zg66_start_20170223_T_sampled_DE2400_YD23_N711_S81_L008_R1_001.fastq	ZG66	50hm	NA	NA	NA	T	T	NA	NA	YD23	ZG66 50hm    T   YD23	2377968	4000000	59.4492	100	GTAGCC	50.5
zg66_start_20170223_bulk_NKG2p_NK_sampled_DE2400_YD23_N715_S84_L008_R1_001.fastq	ZG66	50hm	NA	NA	NA	NK NKG2p	NK NKG2p	NA	bulk	YD23	ZG66 50hm    NK NKG2p  bulk  YD23	1979715	4000000	49.492875	100	GTAGCC	50.5
zg66_start_20170223_B_sampled_DE2400_YD23_N712_S82_L008_R1_001.fastq	ZG66	50hm	NA	NA	NA	B	B	NA	NA	YD23	ZG66 50hm    B   YD23	2941441	4000000	73.536025	100	GTAGCC	50.5
sampled_trimmed_ZG66_48m_12_12_2016_PB_16pP80p_NK_CELL_RNA_R26_FX18.fastq	ZG66	48m	NA	NA	NA	NK CD16sp NKP80p	CD16+ NKP80p	NA	RNA	FX18	ZG66 48m    CD16+ NKP80p  RNA FX18	3181405	4000000	79.535125	100	GTAGCC	48
zg6622mGFPpGrCD807.fastq	ZG66	22m	NA	NA	NA	Grans GFPp	Gr GFPp	NA	NA	NA	ZG66 22m    Grans GFPp   507	3233671	4000000	80.841775	100	GTAGCC	22
ZG666hmRightNodeB2nd.fastq	ZG66	6hm	NA	NA	NA	B	B	NA	Right node rep	NA	ZG66 6hm    B  Right node rep 	1955769	4000000	48.894225	100	GTAGCC	6.5
zg6612mMono.fastq	ZG66	12m	NA	NA	NA	Mono	Mono	NA	NA	NA	ZG66 12m    Mono   	3259610	4000000	81.49025	100	GTAGCC	12
ZG666hmT.fastq	ZG66	6hm	NA	NA	NA	T	T	NA	NA	NA	ZG66 6hm    T   	1883561	4000000	47.089025	100	GTAGCC	6.5
zg6624mTRocky.fastq	ZG66	24m	NA	NA	NA	T	T	NA	NA	Rocky	ZG66 24m    T   Rocky	2637666	3571331	73.856666	100	GTAGCC	24
pp_50trim_ZG66_47M__27102016__Gr_ficolled_R9_CD139.fastq	ZG66	47m	NA	NA	NA	Grans	Gr	NA	NA	CD139	ZG66 47m    Grans   CD139	3066574	4000000	76.66435	100	GTAGCC	47
zg6617mRCBrep1RNA.fastq	ZG66	17m	NA	NA	NA	RBC	RBC	NA	RNA rep1	NA	ZG66 17m    RBC  RNA rep1 	3341386	4000000	83.53465	100	GTAGCC	17
zg6614hmNK16n56nNKG2Ap.fastq	ZG66	14hm	NA	NA	NA	NK DN NKG2Ap	DN	NA	NA	NA	ZG66 14hm    NK DN NKG2Ap CD16n CD56n	2910121	4000000	72.753025	100	GTAGCC	14.5
zg6612mTRNA.fastq	ZG66	12m	NA	NA	NA	T	T	NA	RNA	NA	ZG66 12m    T  RNA 	2516349	4000000	62.908725	100	GTAGCC	12
ZG664hmNK16p56p.fastq	ZG66	4hm	NA	NA	NA	NK DP	NK DP	NA	NA	NA	ZG66 4hm    NK DP   	2909618	4000000	72.74045	100	GTAGCC	4.5
zg667mLBMcd34p2.fastq	ZG66	7m	NA	NA	NA	CD34n	CD34n	NA	LBM rep	NA	ZG66 7m    CD34p  LBM rep 	2288561	3023926	75.681779	100	GTAGCC	7
ZG662mB.fastq	ZG66	2m	NA	NA	NA	B	B	NA	NA	NA	ZG66 2m    B   	2703998	4000000	67.59995	100	GTAGCC	2
